,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
0,0,0,723.0,178.0,0.0,855.0,0,1000.0,0,0,0,886204,4834,0,0.0,0,3054.0,0,0,0,2009.0,936.0,7.9,1.78,33000
1,0,1,302.0,169.0,563.0,1000.0,1,40000.0,1,1,1,471220,48350,1,0.0,1,1238.0,0,0,0,2007.0,5000.0,7.1,2.35,0
2,0,2,602.0,148.0,0.0,161.0,2,11000.0,2,2,2,275868,11700,2,1.0,2,994.0,0,1,0,2015.0,393.0,6.8,2.35,85000
3,0,3,813.0,164.0,22000.0,23000.0,3,27000.0,3,3,3,1144337,106759,3,0.0,3,2701.0,0,0,0,2012.0,23000.0,8.5,2.35,164000
5,0,4,462.0,132.0,475.0,530.0,4,640.0,4,4,4,212204,1873,4,1.0,4,738.0,0,0,0,2012.0,632.0,6.6,2.35,24000
6,0,5,392.0,156.0,0.0,4000.0,5,24000.0,5,5,5,383056,46055,5,0.0,5,1902.0,0,0,0,2007.0,11000.0,6.2,2.35,0
7,0,6,324.0,100.0,15.0,284.0,6,799.0,6,6,6,294810,2036,6,1.0,6,387.0,0,0,1,2010.0,553.0,7.8,1.85,29000
8,0,7,635.0,141.0,0.0,19000.0,7,26000.0,4,7,7,462669,92000,7,4.0,7,1117.0,0,0,0,2015.0,21000.0,7.5,2.35,118000
9,0,8,375.0,153.0,282.0,10000.0,8,25000.0,7,8,8,321795,58753,8,3.0,8,973.0,0,1,1,2009.0,11000.0,7.5,2.35,10000
10,0,9,673.0,183.0,0.0,2000.0,9,15000.0,4,9,9,371639,24450,9,0.0,9,3018.0,0,0,0,2016.0,4000.0,6.9,2.35,197000
11,0,10,434.0,169.0,0.0,903.0,10,18000.0,4,10,10,240396,29991,10,0.0,10,2367.0,0,0,0,2006.0,10000.0,6.1,2.35,0
12,0,11,403.0,106.0,395.0,393.0,11,451.0,8,11,11,330784,2023,11,1.0,11,1243.0,0,1,0,2008.0,412.0,6.7,2.35,0
13,0,1,313.0,151.0,563.0,1000.0,1,40000.0,1,1,12,522040,48486,1,2.0,12,1832.0,0,0,0,2006.0,5000.0,7.3,2.35,5000
14,0,1,450.0,150.0,563.0,1000.0,12,40000.0,9,1,13,181792,45757,12,1.0,13,711.0,0,0,0,2013.0,2000.0,6.5,2.35,48000
15,0,9,733.0,143.0,0.0,748.0,13,15000.0,0,9,14,548573,20495,13,0.0,14,2536.0,0,0,0,2013.0,3000.0,7.2,2.35,118000
16,0,12,258.0,150.0,80.0,201.0,14,22000.0,10,12,15,149922,22697,14,4.0,15,438.0,0,0,1,2008.0,216.0,6.6,2.35,0
17,0,7,703.0,173.0,0.0,19000.0,7,26000.0,4,7,16,995415,87697,7,3.0,16,1722.0,0,0,0,2012.0,21000.0,8.1,1.85,123000
18,0,13,448.0,136.0,252.0,1000.0,15,40000.0,1,1,17,370704,54083,15,4.0,17,484.0,0,0,0,2011.0,11000.0,6.7,2.35,58000
19,0,14,451.0,106.0,188.0,718.0,16,10000.0,11,13,18,268154,12572,16,1.0,18,341.0,0,0,0,2012.0,816.0,6.8,1.85,40000
20,0,15,422.0,164.0,0.0,773.0,17,5000.0,12,14,19,354228,9152,17,0.0,19,802.0,0,2,0,2014.0,972.0,7.5,2.35,65000
21,0,16,599.0,153.0,464.0,963.0,18,15000.0,1,15,20,451803,28489,18,0.0,20,1225.0,0,0,0,2012.0,10000.0,7.0,2.35,56000
22,0,17,343.0,156.0,0.0,738.0,19,891.0,13,16,21,211765,3244,19,0.0,21,546.0,0,0,0,2010.0,882.0,6.7,2.35,17000
23,0,15,509.0,186.0,0.0,773.0,17,5000.0,12,14,22,483540,9152,17,6.0,22,951.0,0,0,0,2013.0,972.0,7.9,2.35,83000
24,0,18,251.0,113.0,129.0,1000.0,20,16000.0,14,17,23,149019,24106,20,2.0,23,666.0,0,0,0,2007.0,6000.0,6.1,2.35,0
25,0,15,446.0,201.0,0.0,84.0,21,6000.0,15,18,24,316018,7123,21,0.0,24,2618.0,0,2,0,2005.0,919.0,7.2,2.35,0
26,0,0,315.0,194.0,0.0,794.0,22,29000.0,16,19,25,793059,45223,22,0.0,25,2528.0,0,0,0,1997.0,14000.0,7.7,2.35,26000
27,0,19,516.0,147.0,94.0,11000.0,23,21000.0,4,20,26,272670,64798,23,0.0,26,1022.0,0,0,0,2016.0,19000.0,8.2,2.35,72000
28,0,20,377.0,131.0,532.0,627.0,24,14000.0,17,21,27,202382,26679,24,0.0,27,751.0,0,0,0,2012.0,10000.0,5.9,2.35,44000
29,0,21,644.0,124.0,365.0,1000.0,25,3000.0,17,22,28,418214,8458,25,0.0,28,1290.0,0,0,0,2015.0,2000.0,7.0,2.0,150000
30,0,2,750.0,143.0,0.0,393.0,26,883.0,2,23,29,522030,2039,11,0.0,29,1498.0,0,1,0,2012.0,563.0,7.8,2.35,80000
31,0,5,300.0,135.0,0.0,4000.0,5,24000.0,18,5,30,411164,43388,5,1.0,30,1303.0,0,0,0,2004.0,11000.0,7.3,2.35,0
32,0,22,608.0,195.0,1000.0,3000.0,27,21000.0,4,20,31,557489,30426,26,3.0,31,1187.0,0,0,0,2013.0,4000.0,7.2,2.35,95000
33,0,23,451.0,108.0,13000.0,11000.0,28,40000.0,14,1,32,306320,79957,27,0.0,32,736.0,0,0,1,2010.0,25000.0,6.5,1.85,24000
34,0,24,334.0,104.0,420.0,560.0,29,20000.0,19,24,33,383427,21714,28,0.0,33,1912.0,0,3,0,2006.0,808.0,6.8,2.35,0
35,0,25,376.0,104.0,37.0,760.0,30,12000.0,20,25,34,235025,14863,29,0.0,34,265.0,0,0,2,2013.0,779.0,7.3,1.85,44000
36,0,26,366.0,150.0,0.0,464.0,31,894.0,4,26,35,323207,3218,30,0.0,35,1439.0,0,0,0,2009.0,581.0,6.0,2.35,0
37,0,26,378.0,165.0,0.0,808.0,32,974.0,4,27,36,242420,3988,31,2.0,36,918.0,0,0,0,2014.0,956.0,5.7,2.35,56000
38,0,5,525.0,130.0,0.0,11000.0,33,44000.0,14,28,37,175409,73441,32,4.0,37,511.0,0,0,1,2013.0,15000.0,6.4,2.35,60000
39,0,16,495.0,142.0,464.0,825.0,18,15000.0,0,15,38,321227,28631,33,0.0,38,1067.0,0,0,0,2014.0,10000.0,6.7,2.35,41000
40,0,27,469.0,125.0,364.0,1000.0,34,12000.0,4,29,39,264183,25550,34,0.0,39,665.0,0,0,1,2010.0,10000.0,6.8,2.35,30000
41,0,28,304.0,106.0,487.0,776.0,21,1000.0,21,30,40,101178,4482,35,0.0,40,283.0,0,0,2,2011.0,919.0,6.3,2.35,10000
42,0,29,436.0,123.0,258.0,326.0,35,16000.0,4,31,41,223393,17657,36,2.0,41,550.0,0,0,0,2011.0,368.0,5.6,2.35,24000
43,0,30,453.0,103.0,125.0,721.0,36,15000.0,20,32,42,544884,19085,37,3.0,42,733.0,0,0,2,2010.0,1000.0,8.3,1.85,30000
